opiates,150426
pain,108748
lot,90912
heroin,80536
opiate,75425
drugs,74208
normal,61595
drug,57284
life,54512
combinations,51148
tolerance,46574
withdrawal,46134
problem,43874
best,37220
head,36234
probably,35695
maybe,35326
cold,34865
amp,32064
depression,31698
methadone,31654
cop,30280
cut,26538
worse,25962
stalking,25762
anxiety,25236
let,24909
support,23568
blood,23104
bit,22780
shot,22327
high,22239
able,21766
car,21754
addiction,20447
stop,20302
yes,19293
sick,19095
inexperience,18983
found,18849
couplet,18822
brain,18246
suboxone,17928
stomach,17156
control,16988
hit,16947
talk,15151
alcohol,15025
nose,14541
wanted,14320
pill,14218
arm,14115
sleep,13648
water,13622
care,13604
morphines,13544
face,13534
easy,13435
weed,13433
finding,13173
morphine,13080
body,12687
veins,12280
treatment,12216
ice,12174
weight,11928
sucks,11891
advice,11727
possible,11457
burn,11400
medications,11396
shooting,11242
single,11120
met,10984
liver,10976
positive,10830
fast,10788
ive,10593
dead,10376
opium,10338
process,10324
crack,10310
eye,10264
close,9949
agree,9859
sex,9842
symptom,9786
unknown,9786
oxycodone,9722
test,9639
history,9603
run,9354
said,9313
relapse,9090
death,9048
imo,9030
sit,8950
opioids,8945
vein,8928
rehab,8840
papa,8780
opana,8633
doc,8550
xanax,8477
heart,8454
nod,8337
card,8304
program,8117
likely,8094
lost,7964
meds,7654
died,7586
tomorrow,7511
liquid,7484
difficult,7452
simplex,7052
die,6999
throat,6990
negative,6966
overdose,6966
fat,6846
complete,6812
change,6792
tired,6668
city,6592
tramadol,6516
hydrocodone,6501
hydrocodones,6501
eating,6447
plan,6414
ill,6390
hurt,6389
worry,6352
stress,6306
nausea,6288
codeine,6250
meth,6161
cant,6159
treatments,6098
hand,6050
detox,6004
depressed,5962
options,5901
bed,5885
tongue,5872
indifference,5865
pic,5864
relief,5798
patient,5676
drunk,5664
suck,5646
prescriptions,5591
hearing,5550
throw,5549
dxm,5511
surgery,5478
skin,5474
marijuana,5460
dilaudid,5439
easily,5437
singlet,5394
related,5378
food,5324
comfortable,5312
walking,5310
hands,5287
depressions,5282
sad,5276
finger,5260
release,5229
lead,5090
blue,5085
seizure,5068
playing,5054
bucks,5016
physical,4990
issue,4985
glass,4964
symptoms,4897
clear,4873
filter,4863
fentanyl,4854
lives,4813
cotton,4802
level,4773
pass,4752
hang,4682
eyes,4639
tea,4616
fall,4615
infection,4581
sitting,4573
postin,4545
dependent,4526
confused,4520
sittings,4480
pop,4466
forget,4464
balance,4440
willing,4415
apap,4390
findings,4380
trip,4367
group,4356
result,4352
sweat,4338
worried,4327
bang,4274
stomachs,4241
score,4211
neck,4182
pull,4164
response,4156
urine,4137
insulin,4120
turned,4107
rig,4096
insomnia,4080
"feel bad",4056
sweet,4050
shots,4047
omental,4023
syring,3992
condition,3970
hes,3948
euphoria,3869
running,3869
piss,3850
red,3819
stimulant,3798
active,3784
location,3766
heat,3762
cap,3759
smart,3754
expecta,3753
block,3752
therapy,3752
source,3718
link,3714
cutting,3694
miserable,3686
brand,3667
cancer,3652
severe,3644
fit,3618
pot,3615
correct,3596
warm,3594
helpin,3591
cat,3584
falling,3582
opioid,3580
mad,3576
dry,3555
"cold turkey",3549
simplet,3524
"stay clean",3511
abuse,3495
leg,3495
orange,3490
vicodin,3481
negatives,3479
wasting,3478
injection,3434
injections,3430
medication,3422
"medication 1",3416
"medication 2",3416
"medication 3",3416
hitting,3393
slightly,3393
"0 days",3377
stand,3342
enzymes,3312
crush,3305
legs,3298
vitamins,3246
tylenol,3243
presponse,3239
pee,3234
energy,3227
catch,3212
suicide,3196
unable,3195
proud,3193
mixed,3189
hanging,3162
speak,3138
passed,3136
crushed,3118
deliver,3114
blow,3101
generic,3082
chill,3048
infections,3048
elated,3031
testate,3011
oxymorphone,3008
crystal,2985
treat,2930
"drug use",2922
missing,2921
"5 minutes",2917
poppy,2901
prelief,2888
urelief,2887
age,2880
medicine,2879
hits,2854
withdrawn,2848
cvs,2847
hair,2840
jump,2840
loperamide,2838
asleep,2836
touch,2833
30s,2832
ran,2831
pulled,2815
insane,2802
patch,2802
remind,2765
delivery,2762
weak,2760
overdoses,2743
hydromorphone,2738
cocaine,2736
brown,2721
complaint,2714
stalked,2704
gift,2696
alive,2652
foot,2638
fingers,2632
hole,2628
cannabis,2608
responsible,2595
swallowing,2595
exchange,2578
turns,2574
adderall,2570
new,2560
sign,2555
sleeping,2547
seizures,2534
stimulants,2530
burned,2520
damage,2509
til,2505
caffeine,2496
disease,2482
ear,2460
grapefruit,2450
benzodiazepines,2444
note,2444
gas,2443
bending,2440
pack,2435
west,2428
somewhat,2424
report,2417
exercise,2409
color,2401
strain,2392
quarter,2389
subutex,2369
scrape,2368
arrested,2364
blowing,2354
exercises,2352
homeless,2350
cough,2346
atm,2336
painful,2329
"harm reduction",2327
art,2314
knowledge,2309
"pain management",2305
1-2,2296
arrest,2276
oxycontin,2272
crushing,2260
benadryl,2259
hide,2259
valium,2259
spots,2256
rid,2251
mgs,2247
green,2213
scraped,2204
milk,2194
purpose,2171
procedure,2166
percocet,2163
narcan,2149
swear,2149
excited,2146
speed,2136
"pain relief",2132
sucked,2131
concept,2122
binge,2113
mass,2100
nauseas,2091
ate,2088
paws,2082
coping,2079
promiseb,2077
mdma,2071
throwing,2067
antihistamine,2064
insulins,2056
mild,2056
carry,2042
add,2040
otc,2040
3-4,2034
activity,2032
crap,2026
crystals,1988
"i don't know",1963
rule,1960
mood,1956
toilet,1945
bruise,1941
prob,1937
feet,1935
married,1928
prepared,1926
muscles,1925
scrapes,1922
swallows,1921
cross,1918
savings,1916
fresh,1915
blocked,1913
chocolate,1908
nightmare,1902
nightmares,1902
rls,1893
nasal,1890
played,1862
discomfort,1853
center,1852
psych,1844
pharmaceuticals,1843
benzodiazepine,1842
wound,1840
shearing,1837
kidney,1836
moderate,1832
tear,1827
severed,1821
aid,1818
little,1812
shopping,1802
date,1801
listening,1801
sugar,1795
raw,1788
reach,1788
meditation,1774
emotional,1771
cope,1764
diarrhea,1752
breath,1744
learning,1740
hop,1738
behaviors,1736
behavior,1735
blocks,1734
prevent,1721
park,1713
mate,1712
amotivation,1707
silk,1702
amphetamine,1700
hip,1698
light,1696
present,1696
ovaries,1692
shake,1688
ops,1675
narcotics,1672
emergency,1670
tips,1662
mobile,1654
pro,1654
stopping,1650
offered,1634
wasted,1628
gold,1621
constantt,1618
scale,1601
acetaminophen,1598
maintain,1598
breathing,1595
"chronic pain",1594
buprenorphine,1593
painkillers,1592
suicides,1591
tears,1586
bone,1584
collapse,1581
shop,1581
melatonin,1576
spine,1572
disagree,1569
chat,1564
"withdrawal symptoms",1564
gabapentin,1563
suffering,1544
turning,1543
aversion,1541
bill,1538
habits,1533
sickness,1528
constipation,1514
capsule,1505
penis,1503
"answer questions",1494
chemistry,1484
norco,1484
vomit,1484
duration,1482
bacteria,1479
klonopin,1479
runs,1476
thumb,1476
hardly,1473
basis,1470
suffer,1469
flair,1466
ssri,1466
tongues,1465
worries,1454
pregnant,1446
3-hahaap,1443
ambien,1432
fiber,1431
counseling,1426
medicated,1422
others,1422
address,1421
minor,1398
hmm,1397
throats,1394
burns,1392
atypical,1391
gut,1388
hangover,1388
"blood pressure",1386
hangovers,1386
chip,1384
education,1382
opi,1377
air,1376
advantage,1373
injury,1372
"opiate addiction",1371
salt,1366
marijuanas,1364
nervous,1356
combination,1349
memory,1348
strains,1345
cleaning,1341
abortion,1340
mac,1330
usually,1329
separated,1327
fever,1326
mods,1326
"haha test",1325
pressure,1324
allergy,1320
psychological,1318
bladder,1317
insomnias,1317
cam,1305
tearing,1305
teeth,1297
poop,1295
vinegar,1294
junk,1289
ect,1282
vomiting,1278
counselor,1274
nail,1272
jerk,1266
anxious,1261
chew,1255
tattoo,1250
dat,1248
find,1248
awake,1241
oxygen,1233
swearing,1230
agonist,1218
agonists,1217
hrs,1212
restlessness,1209
"feel sick",1208
apathetic,1204
ibuprofen,1198
camp,1196
falls,1192
smack,1190
unemployment,1182
pace,1179
caps,1175
"black tar",1173
"cotton fever",1172
trigger,1161
blows,1158
pcp,1156
itching,1155
sweating,1154
letter,1150
screen,1149
hiv,1132
pulling,1128
bus,1126
accident,1125
smile,1125
favor,1122
mending,1122
"feeling better",1118
10s,1105
jumped,1105
act,1104
anesthesia,1104
vagina,1101
prick,1098
thc,1094
"ill feeling",1092
scars,1090
"pretty good",1087
ecstasy,1084
narcotic,1081
shaving,1080
clonidine,1079
"heroin addict",1077
tad,1077
stigma,1076
nauseous,1070
"x-pain relief",1066
dph,1064
intended,1062
vivitrol,1056
irresponsibility,1055
lemon,1054
ginger,1053
chills,1052
sources,1052
consciousness,1050
dopamine,1050
survive,1050
addictions,1048
burning,1045
headache,1045
trauma,1044
"3 4",1041
memories,1041
"citric acid",1036
pad,1036
banana,1034
burnings,1034
antihistamines,1032
confusion,1032
lame,1024
lyrica,1022
caring,1017
bomb,1013
lungs,1008
"poppy seed",1006
discussion,1003
sweats,1002
comfort,996
naltrexone,995
fam,994
harsh,993
pharmaceutical,988
forearm,984
alert,978
oil,978
extraction,977
sterile,976
douche,972
form,972
ketamine,971
stripping,971
measured,967
flowers,964
rambling,964
root,960
itch,957
ocd,957
pipe,957
depressing,955
abscess,951
chocolates,949
sensitive,949
pupils,946
beard,944
droppings,944
grade,944
giant,943
stage,943
depressin,939
diabetes,939
balances,938
formula,938
religious,938
greatly,937
limited,933
blister,932
lonely,930
chipper,929
bright,928
"drug addict",928
flu,928
shaking,927
matrix,924
kidneys,918
shoulder,915
chop,914
dirt,911
central,910
interventional,910
relative,899
pat,894
soma,891
soft,889
brains,888
skip,884
placebo,883
fixed,880
diarrheas,874
iron,870
balancer,868
therapeutic,868
chilling,866
analgesia,865
flying,865
therapeutics,862
ativan,861
distraction,861
grind,861
worthless,861
snri,858
sativan,856
ashamed,845
presence,843
observation,841
flush,840
pal,837
truck,835
bridge,834
lipped,834
packs,833
buck,832
stretch,831
"stool softener",828
controlled,827
interaction,826
debt,814
fired,813
bastardy,812
hash,809
boil,806
iop,806
rolled,806
confirm,803
discharge,801
"restless legs",798
acetaminophene,797
sedation,794
cuts,793
destroyed,792
"heart rate",792
worrying,791
headaches,790
religion,790
psychedelics,788
itchy,787
blights,785
ethanol,784
squeeze,784
mushroom,783
melatonine,782
packed,780
5-10,777
impression,777
complications,776
sampled,775
boston,773
goals,769
wax,769
"don't work",766
"scar tissue",766
prepar,765
"hep c",764
"opiate tolerance",763
primary,763
restless,762
stoned,761
nerve,758
reminded,757
animals,754
ibogaine,753
challenge,751
demand,751
aches,747
diet,746
naked,746
manufacturer,742
scratch,741
20s,740
egg,740
dependence,739
sleepy,739
saliva,738
shakes,738
shave,738
codependence,734
improve,734
"using heroin",734
ritual,733
unlikely,731
language,729
migraines,729
play,729
react,728
codependency,727
nicotinex,725
alkaloids,722
procedures,720
horror,718
diagnosis,716
lap,716
tooth,716
panic,715
dull,714
e-counseling,713
terrified,713
instructions,710
abstinence,708
administration,707
talks,707
readministration,703
"pain killers",702
sigh,700
bath,699
"track marks",699
suspicious,698
diagnosed,694
pen,694
massage,692
traumas,692
pan,690
pile,688
tax,688
commit,687
lortab,684
artery,683
bend,680
construction,679
church,678
hungry,678
isolation,678
traffic,678
sore,677
"heroin addiction",674
universel,673
pains,670
peanut,670
spects,667
chalk,666
aids,664
pros,664
cum,663
patience,662
bam,661
holes,660
lip,660
adrenalin,658
dip,657
toxic,656
rob,655
fatigue,652
knees,651
shocked,649
wind,641
blocking,640
dried,640
lord,640
pms,638
imodium,637
physician,636
relaxin,635
5-6,633
amphetamines,632
bite,632
"amphetamines d",630
cpr,630
scar,630
activities,629
diphenhydramine,626
sk-diphenhydramine,624
suicidal,624
temp,623
"mental heal",622
triggers,622
violent,622
breast,621
amen,620
hydrated,618
